Duration (Hours),PGY (Modified) SM,PGY (Modified) SM,PGY (Modified) SM,M. curtisii SM,M. curtisii SM,M. curtisii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. christensenii SM,A. christensenii SM,A. christensenii SM
0,0.0339,0.0677,0.0339,0.034366667,0.053266667,0.019666667,0.0402,0.0379,-0.009,0.0466,0.0325,-0.002
0.08,0.0396,0.065,0.0396,0.040133333,0.056133333,0.027633333,0.0501,0.0353,-0.0399,0.040733333,0.029233333,-0.019166667
0.17,0.01455,0.05395,0.01455,0.024433333,0.050533333,0.026133333,0.034233333,0.045333333,0.000833333,0.040066667,0.025366667,-0.005433333
0.25,0.02975,0.06685,0.02975,0.031533333,0.051033333,0.019733333,0.036833333,0.044933333,-0.004966667,0.0442,0.0291,-1E-04
0.42,0.02445,0.06035,0.02445,0.023933333,0.042533333,0.024433333,0.030333333,0.047733333,-0.006566667,0.0459,0.0244,-0.0078
0.58,0.03745,0.06405,0.03745,0.0317,0.0353,0.0235,0.038766667,0.050966667,-0.009733333,0.043166667,0.028866667,-0.003833333
0.75,0.0361,0.0705,0.0361,0.0299,0.046,0.0277,0.0344,0.0473,-0.0236,0.039466667,0.032066667,-0.010233333
0.92,0.02785,0.06035,0.02785,0.033866667,0.037066667,0.018466667,0.0402,0.0461,-0.0166,0.040433333,0.028633333,-0.009466667
1.08,0.0273,0.0629,0.0273,0.0339,0.0524,0.0323,0.037133333,0.045033333,-0.016266667,0.040733333,0.035333333,-0.005766667
1.25,0.0247,0.0663,0.0247,0.037633333,0.047533333,0.029233333,0.037633333,0.042433333,-0.020066667,0.045066667,0.026566667,-0.012433333
1.42,0.0333,0.0684,0.0333,0.028733333,0.043233333,0.022833333,0.037633333,0.045833333,-0.015766667,0.0401,0.0237,-0.011
1.58,0.0251,0.0649,0.0251,0.033433333,0.051633333,0.027133333,0.043033333,0.046033333,-0.012866667,0.038333333,0.029333333,-0.015066667
1.75,0.02385,0.06235,0.02385,0.035966667,0.049066667,0.029766667,0.038433333,0.043133333,-0.016466667,0.040066667,0.027366667,-0.017333333
1.92,0.039,0.0708,0.039,0.030166667,0.044866667,0.018866667,0.0429,0.0498,-0.0203,0.040466667,0.029266667,-0.012733333
2.08,0.0249,0.0577,0.0249,0.035433333,0.054633333,0.026533333,0.0388,0.0468,-0.0122,0.039933333,0.032533333,-0.010066667
2.25,0.02665,0.06245,0.02665,0.032233333,0.044833333,0.022633333,0.0412,0.0461,-0.0179,0.042433333,0.027033333,-0.014966667
2.42,0.0248,0.0655,0.0248,0.028133333,0.049233333,0.019833333,0.0372,0.0481,-0.0122,0.043733333,0.027133333,-0.016266667
2.58,0.0248,0.0581,0.0248,0.036933333,0.047933333,0.028133333,0.045433333,0.048533333,-0.010966667,0.039433333,0.027733333,-0.013066667
2.75,0.02135,0.06645,0.02135,0.0339,0.0436,0.0273,0.040266667,0.046266667,-0.016933333,0.0343,0.025,-0.0165
2.92,0.023,0.0629,0.023,0.0315,0.0505,0.0235,0.047066667,0.054566667,-0.011933333,0.045633333,0.032633333,-0.012666667
3.08,0.02155,0.06215,0.02155,0.034633333,0.056033333,0.026933333,0.038366667,0.053266667,-0.008033333,0.040633333,0.036633333,-0.004566667
3.25,0.0346,0.0686,0.0346,0.033866667,0.047566667,0.028066667,0.044066667,0.045966667,-0.015833333,0.0427,0.0279,-0.0115
3.42,0.0121,0.0643,0.0121,0.031333333,0.042133333,0.019633333,0.040966667,0.052866667,-0.010133333,0.041033333,0.034833333,-0.007466667
3.58,0.03245,0.06745,0.03245,0.036733333,0.045533333,0.024333333,0.0425,0.052,-0.0096,0.0396,0.0307,-0.0104
3.75,0.0233,0.0661,0.0233,0.024533333,0.045633333,0.025433333,0.040966667,0.045566667,-0.020233333,0.0391,0.0281,-0.0193
3.92,0.03135,0.06425,0.03135,0.025633333,0.048133333,0.029633333,0.039833333,0.047533333,-0.016166667,0.0385,0.0296,-0.0203
4.08,0.02675,0.05985,0.02675,0.0195,0.0475,0.0194,0.036066667,0.046666667,-0.013133333,0.037466667,0.031866667,-0.007633333
4.25,0.02125,0.06695,0.02125,0.036766667,0.045666667,0.026866667,0.043133333,0.049333333,-0.018666667,0.039066667,0.030566667,-0.012533333
4.42,0.03395,0.06215,0.03395,0.032833333,0.053533333,0.017633333,0.0436,0.0526,-0.015,0.039266667,0.025866667,-0.019933333
4.58,0.0229,0.0532,0.0229,0.031666667,0.041666667,0.018266667,0.0411,0.0422,-0.0174,0.037533333,0.023933333,-0.019466667
4.75,0.02185,0.06275,0.02185,0.037366667,0.047466667,0.031266667,0.036533333,0.050233333,-0.015966667,0.043866667,0.027366667,-0.016033333
4.92,0.01395,0.05695,0.01395,0.030166667,0.052966667,0.025966667,0.047466667,0.049966667,-0.014933333,0.043333333,0.031133333,-0.014866667
5.08,0.03145,0.06605,0.03145,0.030133333,0.048733333,0.029133333,0.041633333,0.043533333,-0.014966667,0.0309,0.0313,-0.0166
5.25,0.02475,0.05595,0.02475,0.036066667,0.044866667,0.032266667,0.038566667,0.048166667,-0.017933333,0.035333333,0.029233333,-0.015666667
5.42,0.02505,0.05505,0.02505,0.028,0.0436,0.0273,0.044033333,0.048533333,-0.016066667,0.040666667,0.026866667,-0.014133333
5.58,0.0293,0.0503,0.0293,0.034066667,0.049966667,0.024566667,0.0355,0.0479,-0.0201,0.035266667,0.027466667,-0.013733333
5.75,0.03105,0.06765,0.03105,0.030033333,0.048833333,0.023333333,0.036833333,0.050833333,-0.014766667,0.038266667,0.030566667,-0.015233333
5.92,0.01725,0.03195,0.01725,0.0325,0.0464,0.0069,0.0367,0.0513,-0.0173,0.038466667,0.027966667,-0.015233333
6.08,0.0262,0.0506,0.0262,0.0187,0.0447,0.0198,0.043466667,0.050466667,-0.014533333,0.0349,0.0293,-0.013
6.25,0.0187,0.0608,0.0187,0.027766667,0.037366667,0.012166667,0.043633333,0.049733333,-0.017966667,0.0387,0.034,-0.011
6.42,0.02585,0.06565,0.02585,0.0297,0.0426,0.0137,0.042366667,0.045666667,-0.020033333,0.042433333,0.029833333,-0.009366667
6.58,0.02055,0.06415,0.02055,0.042533333,0.050633333,0.016933333,0.0424,0.0432,-0.0194,0.034566667,0.030366667,-0.015433333
6.75,0.0264,0.0689,0.0264,0.0335,0.0487,0.0284,0.0378,0.0444,-0.0207,0.0402,0.0312,-0.0138
6.92,0.0204,0.0615,0.0204,0.032533333,0.043533333,0.027633333,0.039433333,0.048933333,-0.020166667,0.0391,0.0282,-0.0115
7.08,0.0362,0.0701,0.0362,0.0244,0.0401,0.0207,0.0396,0.0485,-0.0152,0.035066667,0.029966667,-0.016533333
7.25,0.02425,0.05795,0.02425,0.0324,0.05,0.0271,0.0422,0.0489,-0.02,0.044933333,0.030133333,-0.012266667
7.42,0.01015,0.05935,0.01015,0.0226,0.0438,0.0035,0.042766667,0.048266667,-0.018633333,0.0368,0.027,-0.0236
7.58,0.02625,0.06375,0.02625,0.0329,0.0479,0.0187,0.035133333,0.047033333,-0.017666667,0.0395,0.0302,-0.0142
7.75,0.0092,0.0575,0.0092,0.032233333,0.051833333,0.028133333,0.036233333,0.049033333,-0.017566667,0.0417,0.0294,-0.0158
7.92,0.02435,0.06465,0.02435,0.020233333,0.038533333,0.018633333,0.0357,0.0466,-0.0207,0.038833333,0.033033333,-0.012566667
8.09,0.025,0.0628,0.025,0.039966667,0.049966667,0.028066667,0.039033333,0.047633333,-0.013666667,0.031933333,0.020733333,-0.015066667
8.25,0.02035,0.05555,0.02035,0.026333333,0.039533333,0.023733333,0.0427,0.0497,-0.0158,0.0394,0.0287,-0.0117
8.42,0.0148,0.0601,0.0148,0.0292,0.0472,0.0189,0.033933333,0.045233333,-0.019066667,0.031866667,0.028866667,-0.013233333
8.59,0.00705,0.05665,0.00705,0.028066667,0.048666667,0.021266667,0.0343,0.0453,-0.0253,0.037266667,0.029066667,-0.015533333
8.75,0.01975,0.06005,0.01975,0.0216,0.0369,0.0136,0.042366667,0.043266667,-0.020033333,0.040733333,0.034333333,-0.011566667
8.92,0.02455,0.06165,0.02455,0.024,0.0429,0.0295,0.033,0.0469,-0.0203,0.034833333,0.028433333,-0.015166667
9.09,0.01775,0.06005,0.01775,0.027333333,0.050533333,0.021233333,0.0377,0.0475,-0.0177,0.041066667,0.030366667,-0.004433333
9.25,0.01985,0.05875,0.01985,0.022566667,0.040766667,0.007966667,0.033366667,0.047866667,-0.020833333,0.034466667,0.027066667,-0.017133333
9.42,0.0128,0.0532,0.0128,0.023333333,0.043533333,0.025033333,0.0352,0.0454,-0.0188,0.038666667,0.030166667,-0.007633333
9.59,0.02415,0.05845,0.02415,0.027633333,0.036633333,0.021633333,0.031566667,0.042366667,-0.027033333,0.037766667,0.031466667,-0.013733333
9.75,0.0205,0.0611,0.0205,0.026866667,0.047566667,0.019566667,0.043533333,0.049333333,-0.017466667,0.040233333,0.031833333,-0.016266667
9.92,0.03165,0.04285,0.03165,0.018733333,0.045633333,0.025233333,0.04,0.052,-0.0216,0.037866667,0.025166667,-0.011433333
10.09,0.0193,0.0558,0.0193,0.029066667,0.045966667,0.017366667,0.037166667,0.050366667,-0.018233333,0.021266667,0.030666667,-0.013533333
10.25,-0.0006,0.0613,-0.0006,0.030566667,0.036966667,0.024766667,0.039966667,0.046666667,-0.020033333,0.039033333,0.033933333,-0.017066667
10.42,0.02545,0.06505,0.02545,0.0222,0.0367,0.0206,0.031566667,0.049466667,-0.016133333,0.032166667,0.030066667,-0.013533333
10.59,0.01405,0.05995,0.01405,0.029,0.0411,0.0095,0.0376,0.0453,-0.0217,0.0354,0.0329,-0.0115
10.75,0.02745,0.06175,0.02745,0.025133333,0.046733333,0.020733333,0.03,0.0461,-0.02,0.0373,0.0317,-0.0129
10.92,0.00905,0.04905,0.00905,0.021533333,0.043033333,0.014733333,0.039433333,0.048133333,-0.016566667,0.038766667,0.032666667,-0.012633333
11.09,0.0261,0.0594,0.0261,0.029533333,0.049633333,0.026233333,0.034666667,0.047266667,-0.017433333,0.037933333,0.034733333,-0.007066667
11.25,0.01855,0.04345,0.01855,0.020666667,0.043566667,0.008566667,0.028833333,0.044933333,-0.025366667,0.035633333,0.031733333,-0.016666667
11.42,0.01155,0.04695,0.01155,0.0231,0.0421,0.0214,0.0328,0.0503,-0.0268,0.038266667,0.032166667,-0.010033333
11.59,0.00665,0.05605,0.00665,0.024466667,0.047566667,0.019166667,0.036933333,0.046933333,-0.026366667,0.035666667,0.027666667,-0.016733333
11.75,0.02715,0.06465,0.02715,0.029433333,0.044533333,0.018533333,0.030366667,0.045066667,-0.030133333,0.035166667,0.033866667,-0.020433333
11.92,0.0154,0.0613,0.0154,0.037433333,0.053933333,0.028333333,0.037433333,0.043533333,-0.017066667,0.034666667,0.031866667,-0.019933333
12.09,0.02875,0.06915,0.02875,0.028033333,0.046233333,0.023233333,0.036033333,0.048333333,-0.021166667,0.042633333,0.031133333,-0.013966667
12.25,0.02635,0.06565,0.02635,0.027933333,0.047733333,0.016133333,0.0373,0.0454,-0.0197,0.0403,0.0403,-0.0073
12.42,0.0223,0.0544,0.0223,0.024933333,0.045333333,0.028333333,0.037433333,0.042333333,-0.027666667,0.043466667,0.034366667,-0.008733333
12.59,0.00705,0.05305,0.00705,0.023666667,0.055766667,0.029066667,0.035233333,0.045333333,-0.024466667,0.040133333,0.033033333,-0.016066667
12.75,0.0187,0.0537,0.0187,0.022566667,0.048566667,0.026866667,0.041366667,0.049566667,-0.011233333,0.040333333,0.041133333,-0.002266667
12.92,0.0315,0.057,0.0315,0.029433333,0.050933333,0.019133333,0.037666667,0.046366667,-0.024133333,0.038666667,0.034966667,-0.005633333
13.09,0.0232,0.064,0.0232,0.0312,0.0447,0.0244,0.035,0.0499,-0.0244,0.039166667,0.031666667,-0.016233333
13.25,0.0281,0.0628,0.0281,0.0233,0.0391,0.0184,0.038633333,0.046633333,-0.023666667,0.035466667,0.031866667,-0.015633333
13.42,0.0273,0.046,0.0273,0.0256,0.0383,0.02,0.0297,0.0419,-0.0219,0.042333333,0.039033333,-0.012866667
13.59,0.01565,0.06385,0.01565,0.024766667,0.044166667,0.019966667,0.033733333,0.038433333,-0.032566667,0.037333333,0.027433333,-0.016266667
13.75,0.01825,0.04275,0.01825,0.0284,0.0459,0.0156,0.035566667,0.041166667,-0.027833333,0.049166667,0.037766667,-0.007433333
13.92,0.0313,0.0504,0.0313,0.0287,0.0509,0.0244,0.034966667,0.043966667,-0.020933333,0.0409,0.0403,-0.0055
14.09,0.01575,0.05395,0.01575,0.0227,0.0407,0.023,0.0376,0.0433,-0.0226,0.042133333,0.038133333,-0.011366667
14.25,0.011,0.0512,0.011,0.029233333,0.050933333,0.023533333,0.0381,0.0446,-0.0256,0.0409,0.0404,-0.0063
14.42,0.01245,0.05595,0.01245,0.029333333,0.051133333,0.019633333,0.035933333,0.048133333,-0.020966667,0.0439,0.0337,-0.0109
14.59,0.02615,0.05795,0.02615,0.029833333,0.047733333,0.023533333,0.042333333,0.047433333,-0.019066667,0.040466667,0.037466667,-0.005033333
14.75,0.01275,0.05285,0.01275,0.024233333,0.046533333,0.015633333,0.036966667,0.048366667,-0.017733333,0.0417,0.0383,-0.0074
14.92,0.02095,0.05405,0.02095,0.023933333,0.045633333,0.020933333,0.035433333,0.043333333,-0.021066667,0.0423,0.0392,-0.0153
15.09,0.02735,0.04635,0.02735,0.0185,0.0488,0.02,0.0332,0.0505,-0.0204,0.043333333,0.042233333,-0.003866667
15.25,0.01775,0.05515,0.01775,0.026766667,0.041566667,0.019366667,0.030033333,0.040033333,-0.027866667,0.050966667,0.043566667,-0.003633333
15.42,0.02505,0.05345,0.02505,0.032833333,0.043433333,0.023533333,0.039233333,0.038333333,-0.026966667,0.0371,0.0337,-0.0089
15.59,0.02025,0.04495,0.02025,0.026533333,0.045433333,0.018533333,0.0285,0.0363,-0.0264,0.0357,0.0429,-0.0091
15.75,0.02605,0.05835,0.02605,0.02,0.0438,0.0134,0.040733333,0.046433333,-0.022566667,0.0379,0.0396,-1E-04
15.92,0.00635,0.05225,0.00635,0.031,0.0456,0.0218,0.0338,0.0416,-0.0185,0.0357,0.0428,-0.0043
16.09,0.017,0.0527,0.017,0.024466667,0.042166667,0.013766667,0.0336,0.0395,-0.0312,0.047866667,0.040066667,-0.001233333
16.25,0.01475,0.05955,0.01475,0.023066667,0.046266667,0.021466667,0.037233333,0.048433333,-0.018166667,0.044133333,0.040533333,0.002033333
16.42,0.01195,0.04805,0.01195,0.022733333,0.043533333,0.017033333,0.035966667,0.044466667,-0.024333333,0.042633333,0.039433333,0.000133333
16.59,0.01235,0.05555,0.01235,0.021566667,0.037766667,0.016366667,0.0304,0.0426,-0.0199,0.036233333,0.035133333,-0.005966667
16.75,0.01045,0.06125,0.01045,0.0219,0.0397,0.0189,0.029033333,0.045333333,-0.026466667,0.051533333,0.044133333,0.006233333
16.92,0.0171,0.0589,0.0171,0.031,0.0473,0.0103,0.0428,0.0472,-0.0257,0.040833333,0.038533333,-0.008566667
17.09,0.00935,0.05355,0.00935,0.0191,0.044,0.0072,0.0339,0.0489,-0.0228,0.0444,0.0427,0.0056
17.25,0.01845,0.06205,0.01845,0.019666667,0.049766667,0.021666667,0.039366667,0.048866667,-0.020833333,0.039333333,0.038333333,-0.005466667
17.42,0.0274,0.0628,0.0274,0.028033333,0.046533333,0.017833333,0.039833333,0.043133333,-0.028666667,0.0423,0.0361,0.0003
17.59,0.01555,0.05785,0.01555,0.026933333,0.048433333,0.021733333,0.034266667,0.047366667,-0.024433333,0.047966667,0.040566667,0.010066667
17.75,0.0179,0.0616,0.0179,0.033033333,0.048333333,0.023633333,0.037933333,0.044233333,-0.029566667,0.046066667,0.040466667,0.005566667
17.92,0.0139,0.0519,0.0139,0.026966667,0.048366667,0.023166667,0.0348,0.0522,-0.0235,0.046633333,0.039033333,0.003333333
18.09,0.0167,0.0477,0.0167,0.019366667,0.041466667,0.021666667,0.037133333,0.045133333,-0.025866667,0.0558,0.0463,0.0104
18.25,0.02825,0.05665,0.02825,0.022966667,0.045966667,0.023766667,0.037833333,0.042933333,-0.023566667,0.046266667,0.037466667,0.005566667
18.42,0.0256,0.0592,0.0256,0.020366667,0.042966667,0.007866667,0.029466667,0.044266667,-0.023133333,0.052133333,0.042833333,0.013033333
18.59,0.02985,0.05465,0.02985,0.023866667,0.039466667,0.018766667,0.0384,0.0505,-0.0195,0.048633333,0.037633333,0.005733333
18.75,0.0232,0.0555,0.0232,0.023266667,0.047066667,0.010966667,0.0348,0.0451,-0.0262,0.0551,0.0373,0.0078
18.92,0.02465,0.05415,0.02465,0.018833333,0.036433333,0.013333333,0.031833333,0.045533333,-0.022366667,0.049466667,0.040966667,0.006366667
19.09,0.0223,0.0593,0.0223,0.023866667,0.041366667,0.022866667,0.028566667,0.043666667,-0.025633333,0.070133333,0.044233333,0.017733333
19.25,0.0246,0.0596,0.0246,0.026933333,0.037333333,0.025633333,0.029966667,0.045866667,-0.021133333,0.0578,0.0426,0.0198
19.42,0.0302,0.0642,0.0302,0.0289,0.0448,0.0204,0.034366667,0.048366667,-0.021333333,0.062233333,0.040833333,0.014833333
19.59,0.02805,0.05785,0.02805,0.0276,0.0547,0.0276,0.0321,0.0474,-0.0214,0.0644,0.0395,0.0187
19.75,0.0149,0.0536,0.0149,0.021366667,0.042166667,0.014666667,0.035566667,0.043666667,-0.024833333,0.0681,0.0412,0.0185
19.92,0.01975,0.05885,0.01975,0.0278,0.0417,0.0257,0.029066667,0.045766667,-0.029333333,0.071633333,0.034733333,0.019133333
20.09,0.02945,0.05975,0.02945,0.0325,0.0458,0.024,0.04,0.0463,-0.0266,0.095066667,0.038566667,0.016666667
20.25,0.0227,0.0572,0.0227,0.0235,0.0492,0.0264,0.031466667,0.049066667,-0.025833333,0.077866667,0.039966667,0.028766667
20.42,0.02355,0.05385,0.02355,0.024066667,0.042666667,0.026266667,0.028433333,0.046633333,-0.017666667,0.079933333,0.041733333,0.022233333
