Serial Number:,60000035
Exp ID:,7845E28C-6F33-4F4B-8201-3473094A28EB
Mode:,131073
Data Schema:,2.3.0
Experiment Name:,2025-09-16T14-48
Measurement Mode:,OPTICAL_DENSITY
Interval (s):,300
Start Timestamp:,1758048905
Scheduled End Timestamp:,4294967295
User:,glk3a@virginia.edu
Plate Type:,Co-Culture 36-Well Duet Plate

 , , , ,Group Label,Gv_1_A1, ,Gv_1_A3, ,Gv1_A5, ,Lj_1_B1, ,Al_1_B3, ,At_1_B5, ,Gv_1_C1,Lj_1_C2,Gv_1_C3,Al_1_C4,Gv_1_C5,At_1_C6,Lj_10_D1,Gv_10_D2,Al_10_D3,Gv_10_D4,At_10_D5,Gv_10_D6,Gv_1_E1,Lj_1_E2,Al_1_E3, , ,At_1_E6,Gv_10_F1,Lj_10_F2,Al_10_F3, , ,At_10_F6,Group Averages,,,,,,,,,,,,,,,,,,,,,,,,,,Group Standard Deviations
Date and Time,Duration (Hours),Duration (Minutes),UNIX Timestamp,Air Temp ,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6, Gv_1_A1 average,Lj_1_B1 average,Gv_1_A3 average,Al_1_B3 average,Gv1_A5 average,At_1_B5 average,Lj_10_D1 average,Lj_1_C2 average,Gv_10_D2 average,Gv_1_C3 average,Al_10_D3 average,Al_1_C4 average,Gv_10_D4 average,Gv_1_C5 average,At_10_D5 average,At_1_C6 average,Gv_10_D6 average,Gv_1_E1 average,Gv_10_F1 average,Lj_1_E2 average,Lj_10_F2 average,Al_1_E3 average,Al_10_F3 average,At_1_E6 average,At_10_F6 average,Gv_1_C1 average,Gv_1_A1 standard deviation,Lj_1_B1 standard deviation,Gv_1_A3 standard deviation,Al_1_B3 standard deviation,Gv1_A5 standard deviation,At_1_B5 standard deviation,Lj_10_D1 standard deviation,Lj_1_C2 standard deviation,Gv_10_D2 standard deviation,Gv_1_C3 standard deviation,Al_10_D3 standard deviation,Al_1_C4 standard deviation,Gv_10_D4 standard deviation,Gv_1_C5 standard deviation,At_10_D5 standard deviation,At_1_C6 standard deviation,Gv_10_D6 standard deviation,Gv_1_E1 standard deviation,Gv_10_F1 standard deviation,Lj_1_E2 standard deviation,Lj_10_F2 standard deviation,Al_1_E3 standard deviation,Al_10_F3 standard deviation,At_1_E6 standard deviation,At_10_F6 standard deviation,Gv_1_C1 standard deviation,
09/16/2025 2:55 PM,0.00,0,1758048907,36.7461,0.2702,0.1546,0.2651,0.1659,0.2642,0.1614,0.3329,0.1614,0.2965,0.1562,0.2805,0.1505,0.2807,0.2694,0.2578,0.2565,0.2597,0.2668,0.3089,0.2620,0.2736,0.2633,0.2472,0.2460,0.2866,0.2770,0.2723,0.1633,0.1601,0.2610,0.2964,0.2803,0.2682,0.1609,0.1601,0.2458,0.2702,0.3329,0.2651,0.2965,0.2642,0.2805,0.3089,0.2694,0.262,0.2578,0.2736,0.2565,0.2633,0.2597,0.2472,0.2668,0.246,0.2866,0.2964,0.277,0.2803,0.2723,0.2682,0.261,0.2458,0.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 3:00 PM,0.08,5,1758049206,36.5996,0.2703,0.1534,0.2596,0.1643,0.2624,0.1604,0.3091,0.1595,0.2885,0.1549,0.2759,0.1495,0.2746,0.2727,0.2600,0.2565,0.2632,0.2651,0.2969,0.2667,0.2714,0.2560,0.2467,0.2407,0.2906,0.2748,0.2712,0.1618,0.1584,0.2645,0.3163,0.2736,0.2736,0.1593,0.1589,0.2479,0.2703,0.3091,0.2596,0.2885,0.2624,0.2759,0.2969,0.2727,0.2667,0.26,0.2714,0.2565,0.256,0.2632,0.2467,0.2651,0.2407,0.2906,0.3163,0.2748,0.2736,0.2712,0.2736,0.2645,0.2479,0.2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 3:10 PM,0.25,15,1758049806,36.6816,0.2777,0.1535,0.2638,0.1641,0.2640,0.1600,0.3179,0.1583,0.2980,0.1550,0.2790,0.1498,0.2816,0.2794,0.2629,0.2641,0.2635,0.2680,0.3083,0.2670,0.2724,0.2560,0.2438,0.2440,0.2908,0.2792,0.2761,0.1615,0.1582,0.2676,0.3180,0.2825,0.2672,0.1590,0.1589,0.2476,0.2777,0.3179,0.2638,0.298,0.264,0.279,0.3083,0.2794,0.267,0.2629,0.2724,0.2641,0.256,0.2635,0.2438,0.268,0.244,0.2908,0.318,0.2792,0.2825,0.2761,0.2672,0.2676,0.2476,0.2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 3:20 PM,0.42,25,1758050406,36.8437,0.2750,0.1548,0.2654,0.1650,0.2695,0.1610,0.3335,0.1593,0.3018,0.1562,0.2807,0.1509,0.2797,0.2831,0.2709,0.2680,0.2695,0.2735,0.3118,0.2705,0.2711,0.2591,0.2450,0.2473,0.2970,0.2835,0.2795,0.1629,0.1591,0.2720,0.3092,0.2847,0.2753,0.1599,0.1602,0.2476,0.275,0.3335,0.2654,0.3018,0.2695,0.2807,0.3118,0.2831,0.2705,0.2709,0.2711,0.268,0.2591,0.2695,0.245,0.2735,0.2473,0.297,0.3092,0.2835,0.2847,0.2795,0.2753,0.272,0.2476,0.2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 3:30 PM,0.58,35,1758051006,37.0352,0.2753,0.1560,0.2680,0.1662,0.2691,0.1622,0.3214,0.1607,0.3069,0.1576,0.2935,0.1520,0.2855,0.2862,0.2729,0.2741,0.2710,0.2800,0.3072,0.2668,0.2697,0.2647,0.2459,0.2486,0.3008,0.2914,0.2880,0.1641,0.1599,0.2783,0.3018,0.2833,0.2671,0.1610,0.1614,0.2509,0.2753,0.3214,0.268,0.3069,0.2691,0.2935,0.3072,0.2862,0.2668,0.2729,0.2697,0.2741,0.2647,0.271,0.2459,0.28,0.2486,0.3008,0.3018,0.2914,0.2833,0.288,0.2671,0.2783,0.2509,0.2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 3:40 PM,0.75,45,1758051606,37.1914,0.2830,0.1572,0.2760,0.1674,0.2694,0.1632,0.3431,0.1622,0.3047,0.1588,0.2947,0.1532,0.2966,0.3012,0.2754,0.2782,0.2726,0.2893,0.2966,0.2662,0.2767,0.2609,0.2509,0.2474,0.3056,0.3014,0.2933,0.1654,0.1612,0.2810,0.3206,0.2852,0.2790,0.1623,0.1626,0.2530,0.283,0.3431,0.276,0.3047,0.2694,0.2947,0.2966,0.3012,0.2662,0.2754,0.2767,0.2782,0.2609,0.2726,0.2509,0.2893,0.2474,0.3056,0.3206,0.3014,0.2852,0.2933,0.279,0.281,0.253,0.2966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 3:50 PM,0.92,55,1758052206,37.3398,0.2897,0.1581,0.2757,0.1682,0.2762,0.1641,0.3306,0.1634,0.3198,0.1598,0.3006,0.1541,0.2927,0.3062,0.2766,0.2844,0.2782,0.2943,0.3073,0.2756,0.2786,0.2673,0.2507,0.2510,0.3119,0.3096,0.3021,0.1665,0.1620,0.2899,0.3017,0.2915,0.2688,0.1631,0.1634,0.2510,0.2897,0.3306,0.2757,0.3198,0.2762,0.3006,0.3073,0.3062,0.2756,0.2766,0.2786,0.2844,0.2673,0.2782,0.2507,0.2943,0.251,0.3119,0.3017,0.3096,0.2915,0.3021,0.2688,0.2899,0.251,0.2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 4:00 PM,1.08,65,1758052807,37.4434,0.2945,0.1587,0.2870,0.1688,0.2766,0.1646,0.3584,0.1645,0.3217,0.1606,0.3077,0.1548,0.3055,0.3173,0.2805,0.2918,0.2789,0.3019,0.2963,0.2756,0.2733,0.2672,0.2527,0.2494,0.3126,0.3190,0.3090,0.1671,0.1627,0.2943,0.3076,0.2834,0.2794,0.1636,0.1639,0.2539,0.2945,0.3584,0.287,0.3217,0.2766,0.3077,0.2963,0.3173,0.2756,0.2805,0.2733,0.2918,0.2672,0.2789,0.2527,0.3019,0.2494,0.3126,0.3076,0.319,0.2834,0.309,0.2794,0.2943,0.2539,0.3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 4:10 PM,1.25,75,1758053407,37.5859,0.2954,0.1594,0.2867,0.1694,0.2837,0.1646,0.3691,0.1653,0.3287,0.1613,0.3163,0.1555,0.3124,0.3248,0.2872,0.2961,0.2818,0.3091,0.3000,0.2753,0.2753,0.2688,0.2558,0.2503,0.3193,0.3287,0.3144,0.1679,0.1633,0.3006,0.3044,0.2813,0.2807,0.1641,0.1644,0.2565,0.2954,0.3691,0.2867,0.3287,0.2837,0.3163,0.3,0.3248,0.2753,0.2872,0.2753,0.2961,0.2688,0.2818,0.2558,0.3091,0.2503,0.3193,0.3044,0.3287,0.2813,0.3144,0.2807,0.3006,0.2565,0.3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/16/2025 4:20 PM,1.42,85,1758054007,37.6055,0.3020,0.1601,0.2904,0.1697,0.2878,0.1650,0.3742,0.1661,0.3341,0.1618,0.3324,0.1559,0.3126,0.3398,0.2908,0.3031,0.2843,0.3166,0.2985,0.2683,0.2815,0.2669,0.2565,0.2510,0.3266,0.3433,0.3190,0.1684,0.1638,0.3072,0.3174,0.2931,0.2796,0.1645,0.1648,0.2615,0.302,0.3742,0.2904,0.3341,0.2878,0.3324,0.2985,0.3398,0.2683,0.2908,0.2815,0.3031,0.2669,0.2843,0.2565,0.3166,0.251,0.3266,0.3174,0.3433,0.2931,0.319,0.2796,0.3072,0.2615,0.3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
