Name,Brand,Use,Use (General),Number of Strains,Number of Species,Bifidobacterium bifidum,Bifidobacterium breve,Bifidobacterium longum,Lactobacillus Acidophilus,Lactobacillus bulgaricus,Lactobacillus casei,Lactobacillus plantarum,Lactobacillus rhamnosus,Lactococcus/bacilllus lactis,Streptococcus thermophilus,Lactobacillus helveticus,Lactobacillus paracasei,Lactobacillus gasseri,Lactobacillus fermentum,Lactobacillus salivarius,Lactobacillus infantis,Lactobacillus brevis,Lactobacillus reuteri,Bacillus coagulans,Bifidobacterium lactis,Bifidobacterium infantis,Saccharomyces boulardii,Lactobacillus crispatus,Lactobacillus jensenii,Lacticaseibacillus rhamnosus,Bacillus subtilis,Lactiplantibacillus plantarum,Enterococcus faecium,Pediococcus acidilactici,Bacillus clausii,Akkermansia municiphila,Lactobacillus johnsonii,Limosilactobacillus reuteri,Levilactobacillus brevis,Bifidobacterium adolescentis,P. pentosaceus
CVS Health Adult 50+ Probiotic Capsules 90 CT,CVS,Gut,Gut,10,10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Everyday Care Probiotic Capsules,CVS,Gut,Gut,10,10,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Align Extra Strength Probiotic,Align,Gut,Gut,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Daily Digestive Probiotic 6 Billion CFU Capsules,CVS,Gut,Gut,6,6,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Ultra Strength Probiotic Caplets,CVS,Gut,Gut,8,8,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Daily Digestive Probiotic 3 Billion CFU Capsules,CVS,Gut,Gut,5,5,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Women's Daily Probiotic, 30 CT",CVS,"Gut, Vaginal",Vaginal/Urinary,16,15,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align Pre + Probiotic Women Gummies, 50 CT",Align,"Gut, Urinary",Vaginal/Urinary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Advanced Probiotic Gummies, 60 CT",CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Daily Probiotic 24 Billion CFU Capsules,CVS,Gut,Gut,4,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
