Reaction,Annotation
rxn00988,  Carbohydrate metabolism
rxn16138,  Xenobiotics biodegradation and metabolism
rxn14214,  Lipid metabolism
rxn32871,  Carbohydrate metabolism
rxn02545,  Xenobiotics biodegradation and metabolism
rxn08169,  Metabolism of cofactors and vitamins
rxn35662,
rxn06078,  Amino acid metabolism
rxn03397,  Metabolism of cofactors and vitamins
rxn29369,  Carbohydrate metabolism
EXpd00067,
rxn16665,
rxn01512,  Nucleotide metabolism
rxn01479,  Lipid metabolism
rxn34194,  Metabolism of other amino acids
rxn11656,  Xenobiotics biodegradation and metabolism
rxn36758,  Metabolism of cofactors and vitamins
rxn00745,
rxn16237,  Energy metabolism
rxn31924,  Metabolism of cofactors and vitamins
rxn19840,  Metabolism of other amino acids
rxn08536,
rxn01027,  Nucleotide metabolism
rxn27994,  Carbohydrate metabolism
rxn16119,  Metabolism of terpenoids and polyketides
rxn33067,  Nucleotide metabolism
rxn01437,  Amino acid metabolism
rxn03174,  Metabolism of cofactors and vitamins
rxn06817,
rxn04739,  Xenobiotics biodegradation and metabolism
rxn05151,  Nucleotide metabolism
rxn30209,
rxn38499,  Metabolism of terpenoids and polyketides
rxn05115,  Nucleotide metabolism
rxn00801,  Amino acid metabolism
rxn16677,  Amino acid metabolism
rxn01639,  Amino acid metabolism
rxn34777,  Carbohydrate metabolism
rxn19233,
rxn04446,  Metabolism of terpenoids and polyketides
rxn03601,  Xenobiotics biodegradation and metabolism
rxn32938,  Metabolism of cofactors and vitamins
rxn00678,  Carbohydrate metabolism
rxn02944,  Amino acid metabolism
EXpd01101,
rxn05204,  Nucleotide metabolism
rxn03358,  Amino acid metabolism
rxn01358,  Nucleotide metabolism
rxn03327,  Biosynthesis of other secondary metabolites
rxn05070,  Metabolism of terpenoids and polyketides
rxn45616,
rxn33696,  Amino acid metabolism
rxn47859,
rxn31277,  Lipid metabolism
rxn11717,  Lipid metabolism
rxn36764,  Metabolism of cofactors and vitamins
rxn07370,  Metabolism of terpenoids and polyketides
rxn01423,  Amino acid metabolism
EXpd19020,
rxn02439,  Carbohydrate metabolism
rxn05231,  Nucleotide metabolism
rxn34671,  Amino acid metabolism
rxn01859,  Nucleotide metabolism
rxn16642,  Amino acid metabolism
rxn01597,  Xenobiotics biodegradation and metabolism
rxn09458,  Metabolism of other amino acids
rxn01374,  Amino acid metabolism
rxn37906,  Metabolism of other amino acids
rxn02986,  Metabolism of cofactors and vitamins
rxn33359,
rxn00691,  Carbohydrate metabolism
rxn01484,  Carbohydrate metabolism
rxn00717,  Nucleotide metabolism
rxn05154,  Nucleotide metabolism
rxn45052,
rxn03617,  Xenobiotics biodegradation and metabolism
EXpd00009,
rxn01337,  Lipid metabolism
rxn07682,  Lipid metabolism
rxn01684,
rxn33736,
rxn35310,  Biosynthesis of other secondary metabolites
rxn18925,  Lipid metabolism
rxn02938,  Nucleotide metabolism
rxn07902,  Xenobiotics biodegradation and metabolism
rxn04325,  Metabolism of terpenoids and polyketides
rxn08202,
rxn11714,  Lipid metabolism
rxn36076,
rxn16721,  Xenobiotics biodegradation and metabolism
rxn01962,  Nucleotide metabolism
rxn11735,
rxn33318,  Energy metabolism
rxn00537,  Metabolism of other amino acids
rxn31097,  Biosynthesis of other secondary metabolites
EXpd00107,
rxn08537,
EXpd00986,
rxn14382,  Biosynthesis of other secondary metabolites
rxn05672,
rxn16628,  Energy metabolism
rxn15430,
rxn05831,  Lipid metabolism
rxn06453,
rxn34300,  Nucleotide metabolism
rxn00940,  Metabolism of cofactors and vitamins
rxn08861,
rxn05514,
rxn38796,  Carbohydrate metabolism
rxn34366,  Metabolism of terpenoids and polyketides
EXpd00260,
rxn03042,  Carbohydrate metabolism
rxn20662,  Metabolism of cofactors and vitamins
