Reaction,Annotation
rxn02007, Carbohydrate metabolism
EXpd00027,
rxn39462, Lipid metabolism
rxn26310, Energy metabolism
rxn03395, Metabolism of cofactors and vitamins
rxn17384, Biosynthesis of other secondary metabolites
rxn31324, Lipid metabolism
rxn08088,
rxn03440, Carbohydrate metabolism
rxn00984,
rxn03969, Xenobiotics biodegradation and metabolites
rxn08241,
rxn09472, Metabolism of other amino acids
rxn37937,
rxn04830, Xenobiotics biodegradation and metabolites
rxn00588, Xenobiotics biodegradation and metabolites
rxn05669,
rxn07902, Xenobiotics biodegradation and metabolites
rxn15685, Metabolism of terpenoids and polyketides
rxn02263, Carbohydrate metabolism
rxn03630, Metabolism of other amino acids
rxn33569, Biosynthesis of other secondary metabolites
rxn07264, Lipid metabolism
rxn01306, Carbohydrate metabolism
rxn10577,
rxn29919, Carbohydrate metabolism
rxn14058, Amino acid metabolism
rxn30154,
rxn08377, Lipid metabolism
rxn09065, Metabolism of cofactors and vitamins
rxn30860, Metabolism of cofactors and vitamins
rxn31426, Carbohydrate metabolism
rxn03870, Xenobiotics biodegradation and metabolites
rxn16089, Xenobiotics biodegradation and metabolites
rxn16681, Amino acid metabolism
rxn15146, Carbohydrate metabolism
rxn07544, Xenobiotics biodegradation and metabolites
rxn30509,
rxn03504, Carbohydrate metabolism
rxn16172, Metabolism of terpenoids and polyketides
rxn38241, Metabolism of cofactors and vitamins
rxn00452, Amino acid metabolism
rxn01113, Carbohydrate metabolism
rxn46266,
rxn07757, Biosynthesis of other secondary metabolites
rxn30041, Metabolism of cofactors and vitamins
rxn00287,
rxn00306, Carbohydrate metabolism
rxn01610, Amino acid metabolism
rxn30369, Metabolism of cofactors and vitamins
rxn09320,
rxn07826, Xenobiotics biodegradation and metabolites
rxn01515, Nucleotide metabolism
rxn15360, Carbohydrate metabolism
rxn08161,
rxn01633, Carbohydrate metabolism
rxn02405, Glycan biosynthesis and metabolism
rxn19142,
rxn01990, Carbohydrate metabolism
rxn09339, Metabolism of terpenoids and polyketides
rxn03544, Biosynthesis of other secondary metabolites
rxn02227, Amino acid metabolism
rxn31520, Lipid metabolism
rxn03561, Xenobiotics biodegradation and metabolites
rxn05152, Nucleotide metabolism
rxn28089, Carbohydrate metabolism
rxn04603, Amino acid metabolism
rxn27937,
EXpd15561,
rxn00473, Amino acid metabolism
rxn27994, Carbohydrate metabolism
rxn40040, Energy metabolism
rxn32871, Carbohydrate metabolism
rxn44035,
rxn27816, Amino acid metabolism
rxn10609, Biosynthesis of other secondary metabolites
rxn32753, Lipid metabolism
rxn01128, Nucleotide metabolism
rxn16234, Energy metabolism
rxn00657, Metabolism of other amino acids
rxn04275, Metabolism of terpenoids and polyketides
rxn32643, Metabolism of cofactors and vitamins
rxn34719, Lipid metabolism
rxn32259, Carbohydrate metabolism
rxn30151, Amino acid metabolism
rxn33207, Carbohydrate metabolism
rxn03899, Energy metabolism
rxn01586, Lipid metabolism
rxn06542, Amino acid metabolism
rxn07352, Metabolism of terpenoids and polyketides
rxn02229, Amino acid metabolism
rxn38485, Lipid metabolism
rxn16250, Xenobiotics biodegradation and metabolites
rxn38284, Carbohydrate metabolism
rxn01993, Xenobiotics biodegradation and metabolites
rxn03195, Amino acid metabolism
rxn03030, Amino acid metabolism
rxn32683, Metabolism of other amino acids
rxn01948, Amino acid metabolism
rxn01370, Nucleotide metabolism
rxn05794,
rxn16665,
rxn15074,
rxn03792, Xenobiotics biodegradation and metabolites
rxn02900, Metabolism of other amino acids
rxn04024, Amino acid metabolism
rxn01504, Amino acid metabolism
rxn29959, Carbohydrate metabolism
rxn06091, Lipid metabolism
rxn05909, Amino acid metabolism
rxn36686, Lipid metabolism
