Reaction,Annotation
rxn06033,  Lipid metabolism
rxn38499,  Metabolism of terpenoids and polyketides
rxn07849,  Energy metabolism
rxn32684,  Carbohydrate metabolism
rxn04472,  Xenobiotics biodegradation and metabolites
rxn40745,
rxn27667,  Carbohydrate metabolism
rxn00935,  Carbohydrate metabolism
rxn00590,  Xenobiotics biodegradation and metabolites
rxn14022,  Metabolism of other amino acids
rxn02009,  Glycan biosynthesis and metabolism
biomass_GmPos,
rxn03379,  Metabolism of other amino acids
rxn34233,  Carbohydrate metabolism
rxn01730,  Lipid metabolism
rxn09373,  Nucleotide metabolism
rxn10643,  Amino acid metabolism
rxn07904,  Xenobiotics biodegradation and metabolites
rxn10867,
rxn01674,  Nucleotide metabolism
rxn27867,  Metabolism of cofactors and vitamins
rxn09124,  Metabolism of cofactors and vitamins
rxn19776,  Carbohydrate metabolism
rxn38162,  Carbohydrate metabolism
EXpd00305,
rxn28382,  Biosynthesis of other secondary metabolites
rxn35345,  Carbohydrate metabolism
rxn03898,  Xenobiotics biodegradation and metabolites
rxn15875,
rxn03790,  Xenobiotics biodegradation and metabolites
rxn02192,  Lipid metabolism
rxn36480,  Lipid metabolism
rxn30156,
rxn38484,  Lipid metabolism
rxn11809,  Xenobiotics biodegradation and metabolites
rxn15315,  Lipid metabolism
rxn14278,  Biosynthesis of other secondary metabolites
rxn04602,  Amino acid metabolism
rxn31901,  Amino acid metabolism
rxn10203,  Energy metabolism
rxn03546,  Xenobiotics biodegradation and metabolites
rxn03587,  Xenobiotics biodegradation and metabolites
rxn00054,  Amino acid metabolism
rxn06485,
rxn02875,
rxn35436,  Nucleotide metabolism
rxn10939,
rxn33703,  Biosynthesis of other secondary metabolites
rxn45744,
rxn32559,  Amino acid metabolism
rxn38121,  Amino acid metabolism
rxn03085,  Energy metabolism
rxn14039,  Metabolism of cofactors and vitamins
rxn00853,  Amino acid metabolism
rxn01369,
rxn10667,  Amino acid metabolism
rxn03885,  Carbohydrate metabolism
rxn01895,  Amino acid metabolism
rxn34710,  Lipid metabolism
rxn33486,
rxn01715,  Amino acid metabolism
rxn02518,  Nucleotide metabolism
rxn33083,  Amino acid metabolism
rxn33062,
rxn07307,  Energy metabolism
rxn31324,  Lipid metabolism
rxn01518,  Nucleotide metabolism
rxn02949,  Amino acid metabolism
rxn19979,  Biosynthesis of other secondary metabolites
rxn38796,  Carbohydrate metabolism
rxn21417,  Biosynthesis of other secondary metabolites
rxn02447,  Lipid metabolism
rxn38486,  Lipid metabolism
rxn38009,  Carbohydrate metabolism
rxn38115,  Carbohydrate metabolism
rxn16801,  Carbohydrate metabolism
rxn29994,  Amino acid metabolism
rxn15998,  Xenobiotics biodegradation and metabolites
rxn20289,  Nucleotide metabolism
rxn07580,  Metabolism of cofactors and vitamins
rxn29978,  Carbohydrate metabolism
