Reaction,Annotation
rxn12677, Metabolism of cofactors and vitamins
rxn33943,
rxn00130, Nucleotide metabolism
rxn08968, Metabolism of cofactors and vitamins
rxn01383, Carbohydrate metabolism
rxn14341,
rxn19977, Lipid metabolism
rxn05940, Carbohydrate metabolism
rxn16172, Metabolism of terpenoids and polyketides
rxn33577, Metabolism of terpenoids and polyketides
rxn02516, Metabolism of other amino acids
rxn14022, Metabolism of other amino acids
rxn39979, Metabolism of other amino acids
rxn12157,
SNKpd00659,
rxn01271, Metabolism of cofactors and vitamins
rxn30176, Carbohydrate metabolism
rxn30017, Amino acid metabolism
SNKpd01307,
rxn37765, Energy metabolism
rxn06982, Metabolism of cofactors and vitamins
rxn32998, Carbohydrate metabolism
rxn00693, Amino acid metabolism
SNKpd01191,
rxn12780, Carbohydrate metabolism
rxn19742, Metabolism of cofactors and vitamins
rxn19997, Nucleotide metabolism
rxn24109, Metabolism of cofactors and vitamins
rxn05179, Nucleotide metabolism
rxn11245,
rxn34297, Metabolism of other amino acids
rxn40352,
rxn10185,
rxn04318, Metabolism of terpenoids and polyketides
rxn00230, Carbohydrate metabolism
rxn14396, Metabolism of cofactors and vitamins
rxn01343,
rxn16322, Metabolism of other amino acids
SNKpd00932,
rxn16183, Metabolism of terpenoids and polyketides
SNKpd00020,
rxn01952,
SNKpd01651,
SNKpd00092,
rxn15741,
rxn29996, Metabolism of other amino acids
rxn03501,
rxn37999,
rxn24940,
rxn23024,
rxn00109, Energy metabolism
rxn00260, Amino acid metabolism
rxn00874, Lipid metabolism
rxn00306, Carbohydrate metabolism
rxn00220,
rxn17197, Carbohydrate metabolism
rxn09431, Lipid metabolism
SNKpd01432,
SNKpd00770,
rxn34674, Energy metabolism
SNKpd00223,
rxn30570, Carbohydrate metabolism
rxn03665, Xenobiotics biodegradation and metabolism
rxn32483, Carbohydrate metabolism
rxn11932, Energy metabolism
rxn19309, Metabolism of cofactors and vitamins
rxn41888,
rxn00251, Carbohydrate metabolism
rxn14060, Metabolism of other amino acids
SNKpd00712,
rxn12212,
SNKpd00797,
rxn00911, Metabolism of cofactors and vitamins
rxn01541, Nucleotide metabolism
SNKpd16443,
rxn17440, Xenobiotics biodegradation and metabolism
rxn15115, Carbohydrate metabolism
rxn30615, Amino acid metabolism
rxn03550, Xenobiotics biodegradation and metabolism
rxn15250, Carbohydrate metabolism
rxn08491,
rxn01409, Lipid metabolism
rxn23757, Xenobiotics biodegradation and metabolism
rxn29048, Carbohydrate metabolism
rxn01209,
rxn20644,
rxn05168, Nucleotide metabolism
rxn02202, Metabolism of cofactors and vitamins
rxn28085,
rxn07143, Metabolism of terpenoids and polyketides
rxn17678, Lipid metabolism
rxn04516, Metabolism of terpenoids and polyketides
SNKpd08023,
rxn00927, Nucleotide metabolism
rxn24132, Carbohydrate metabolism
rxn23796, Metabolism of cofactors and vitamins
rxn38855, Carbohydrate metabolism
rxn17266, Carbohydrate metabolism
rxn32920, Nucleotide metabolism
rxn01114, Carbohydrate metabolism
rxn00353, Carbohydrate metabolism
rxn00617,
