Reaction,Annotation
rxn32338, Amino acid metabolism
rxn00117, Nucleotide metabolism
rxn16671, Amino acid metabolism
SNKpd23222,
rxn00955, Amino acid metabolism
rxn01054, Carbohydrate metabolism
rxn00946, Lipid metabolism
rxn10056, Energy metabolism
rxn15118, Nucleotide metabolism
rxn32297,
rxn15091, Amino acid metabolism
rxn37222, Metabolism of cofactors and vitamins
SNKpd03561,
rxn33581, Carbohydrate metabolism
rxn32821, Carbohydrate metabolism
rxn00734, Amino acid metabolism
rxn00542, Carbohydrate metabolism
rxn28025, Carbohydrate metabolism
SNKpd01101,
rxn01048, Energy metabolism
rxn30547,
rxn15108, Carbohydrate metabolism
rxn00487, Amino acid metabolism
rxn01953, Carbohydrate metabolism
rxn00252, Carbohydrate metabolism
rxn00409, Nucleotide metabolism
rxn00508, Amino acid metabolism
rxn21402, Biosynthesis of other secondary metabolites
rxn20461,
