Reaction,Annotation
rxn14214,Lipid
rxn35662,
rxn01479,Lipid
rxn36758,Cofactors and vitamins
rxn19840,Amino acid
rxn19233,
rxn04446,Terpenoids and polyketides
rxn02944,Amino acid
EXpd01101,
rxn05204,Nucleotide
rxn36764,Cofactors and vitamins
EXpd19020,
rxn05231,Nucleotide
rxn00691,Carbohydrate
rxn45052,
rxn11735,
rxn31097,Secondary metabolites
rxn05831,Lipid
rxn34366,Terpenoids and polyketides
rxn20662,Cofactors and vitamins
rxn13681,
EXpd15297,
rxn03847,Xenobiotics
rxn46801,
rxn02877,Xenobiotics
rxn19567,Energy
rxn27481,Cofactors and vitamins
rxn00060,Cofactors and vitamins
rxn01313,Cofactors and vitamins
rxn01300,Amino acid
rxn20627,Cofactors and vitamins
rxn25273,Carbohydrate
rxn17079,Secondary metabolites
rxn31886,Cofactors and vitamins
rxn33155,Carbohydrate
rxn26079,Amino acid
rxn08444,Lipid
rxn12739,Cofactors and vitamins
rxn03916,Glycan
rxn34447,
rxn13722,
rxn09374,
rxn37934,Amino acid
rxn03164,Amino acid
rxn30207,Amino acid
rxn33628,Carbohydrate
rxn15105,Glycan
rxn38908,Amino acid
rxn01421,Amino acid
rxn33986,Amino acid
rxn32338,Amino acid
rxn30025,Cofactors and vitamins
rxn02622,Carbohydrate
rxn00102,Energy
rxn00342,Amino acid
rxn27982,Carbohydrate
rxn27521,Amino acid
rxn10186,
rxn00247,Carbohydrate
rxn15935,Cofactors and vitamins
rxn25716,Lipid
rxn01217,Nucleotide
rxn16211,Amino acid
rxn04719,Xenobiotics
rxn15826,Amino acid
rxn47869,
rxn10097,Energy
rxn24063,Cofactors and vitamins
rxn29990,
rxn44034,
rxn00122,Cofactors and vitamins
rxn00415,Amino acid
rxn00230,Carbohydrate
rxn05203,Nucleotide
rxn29728,Carbohydrate
rxn15934,Cofactors and vitamins
rxn33818,Amino acid
rxn28243,Energy
rxn16062,Terpenoids and polyketides
rxn43082,
rxn44504,
rxn12442,Carbohydrate
rxn19643,Nucleotide
rxn19955,Terpenoids and polyketides
rxn32483,Carbohydrate
rxn06105,Nucleotide
rxn15063,
rxn09896,Xenobiotics
rxn37160,Secondary metabolites
rxn01452,Xenobiotics
rxn07488,Carbohydrate
rxn35636,
EXpd00188,
rxn05519,
rxn18961,Carbohydrate
rxn12217,
rxn09016,Terpenoids and polyketides
rxn00272,Amino acid
rxn05915,Glycan
rxn24214,Terpenoids and polyketides
rxn02430,Cofactors and vitamins
rxn00852,Amino acid
rxn04453,Nucleotide
rxn30086,Amino acid
rxn36682,Lipid
rxn02806,Carbohydrate
rxn13931,Glycan
rxn33701,Xenobiotics
rxn05333,Lipid
rxn18974,Nucleotide
rxn00964,Xenobiotics
rxn05064,Energy
rxn01485,Carbohydrate
rxn32102,Amino acid
rxn19870,Amino acid
EXpd00128,
rxn23134,
EXpd02083,
rxn40007,
rxn15697,Carbohydrate
rxn09002,Terpenoids and polyketides
rxn02793,Lipid
rxn03750,Xenobiotics
rxn08393,Lipid
rxn16162,Terpenoids and polyketides
rxn00469,Amino acid
rxn27381,Amino acid
rxn47875,
rxn19740,Nucleotide
rxn30524,Energy
rxn10898,
rxn34495,
rxn15550,
rxn30549,Amino acid
rxn00938,Cofactors and vitamins
rxn09375,
rxn15925,Cofactors and vitamins
rxn33080,Xenobiotics
rxn02948,Xenobiotics
rxn15408,Carbohydrate
rxn00934,Carbohydrate
rxn00293,Carbohydrate
rxn34488,Xenobiotics
rxn00686,Cofactors and vitamins
rxn22986,Amino acid
rxn19010,Nucleotide
rxn35484,
rxn39917,
rxn03739,Xenobiotics
rxn02002,Terpenoids and polyketides
rxn07466,
rxn30393,
rxn07191,Carbohydrate
rxn22821,
rxn28115,Amino acid
rxn02193,Lipid
rxn00544,Carbohydrate
rxn03078,
rxn05356,Lipid
EXpd01092,
rxn26080,Amino acid
rxn00562,Nucleotide
rxn30034,
rxn16621,Amino acid
rxn07848,Energy
rxn33900,Carbohydrate
rxn00603,
rxn32193,Amino acid
rxn41546,
rxn16163,Terpenoids and polyketides
rxn00023,
rxn28198,
rxn32828,Cofactors and vitamins
rxn16212,Amino acid
rxn07621,Terpenoids and polyketides
rxn22819,
rxn33479,Lipid
rxn00007,Carbohydrate
rxn00958,Xenobiotics
rxn09803,Xenobiotics
rxn38381,Cofactors and vitamins
rxn05949,
rxn30194,Amino acid
rxn30550,
rxn39245,
rxn27265,
rxn10187,
rxn37645,Cofactors and vitamins
rxn07756,Secondary metabolites
rxn02380,Carbohydrate
rxn43573,
rxn18678,Nucleotide
rxn04321,Terpenoids and polyketides
rxn08323,
rxn05877,
rxn04378,Lipid
EXpd00214,
rxn16410,
rxn01256,Amino acid
rxn01003,Amino acid
rxn00345,Amino acid
EXpd03586,
rxn25164,Carbohydrate
rxn10180,Cofactors and vitamins
rxn01626,Nucleotide
rxn02288,Cofactors and vitamins
rxn07519,Xenobiotics
rxn16131,Xenobiotics
rxn11900,Cofactors and vitamins
rxn20496,
EXpd00269,
rxn02899,Xenobiotics
rxn06200,
rxn44831,
rxn40577,
rxn16560,
rxn26472,Terpenoids and polyketides
rxn11674,Terpenoids and polyketides
rxn03876,Xenobiotics
rxn05682,
rxn00999,Amino acid
rxn15048,Carbohydrate
rxn09001,Terpenoids and polyketides
rxn34259,
rxn01565,Amino acid
rxn10997,
rxn38810,
rxn34760,Carbohydrate
rxn04322,Terpenoids and polyketides
rxn00394,Amino acid
rxn10089,Energy
EXpd00300,
rxn19034,Carbohydrate
rxn17239,Cofactors and vitamins
rxn01200,Carbohydrate
rxn40664,
rxn01048,Energy
rxn39301,
rxn35655,
rxn10157,Energy
rxn05289,Nucleotide
rxn19683,
rxn00722,Xenobiotics
rxn00656,Amino acid
rxn00937,Amino acid
rxn16827,Nucleotide
rxn26476,Terpenoids and polyketides
rxn12579,Cofactors and vitamins
rxn00141,Amino acid
rxn00421,
rxn09433,Lipid
rxn15047,Carbohydrate
rxn10621,Amino acid
rxn04954,Cofactors and vitamins
rxn03488,Carbohydrate
EXpd00207,
rxn26463,Terpenoids and polyketides
rxn09450,Lipid
rxn14293,Terpenoids and polyketides
EXpd01080,
rxn30388,Cofactors and vitamins
rxn00327,Nucleotide
rxn01670,Cofactors and vitamins
rxn14353,
rxn04158,Cofactors and vitamins
rxn00895,Carbohydrate
rxn41564,
rxn03200,Lipid
rxn00625,
rxn11007,Amino acid
rxn32289,
rxn07606,Xenobiotics
rxn00429,Xenobiotics
rxn01690,Lipid
rxn15334,Nucleotide
EXpd00356,
rxn37266,Cofactors and vitamins
rxn03806,Terpenoids and polyketides
rxn33602,
rxn34538,
rxn17704,
rxn36687,Lipid
EXpd00533,
rxn09288,
rxn01166,Lipid
rxn30153,
rxn07168,Secondary metabolites
rxn02756,Cofactors and vitamins
rxn02768,Carbohydrate
rxn08311,
rxn11077,Cofactors and vitamins
rxn00703,
rxn15112,Nucleotide
rxn39598,
rxn00148,Carbohydrate
rxn16139,Energy
rxn09889,Xenobiotics
rxn04311,Terpenoids and polyketides
rxn38543,Cofactors and vitamins
rxn08168,Cofactors and vitamins
rxn29986,Nucleotide
rxn44951,
rxn30021,Carbohydrate
rxn08447,
rxn31793,Terpenoids and polyketides
rxn12931,
rxn06883,Carbohydrate
rxn14207,Energy
rxn03201,Lipid
rxn01442,
rxn26196,
rxn12881,
rxn08066,
EXpd00353,
rxn32757,Energy
rxn01141,
rxn13106,Nucleotide
rxn09338,Lipid
rxn39013,Xenobiotics
rxn00146,Carbohydrate
rxn28350,Cofactors and vitamins
rxn09720,Amino acid
rxn36685,Lipid
rxn36392,Lipid
rxn04740,Xenobiotics
rxn08019,
rxn39322,Lipid
rxn27228,Nucleotide
rxn04952,
rxn01869,Carbohydrate
rxn03918,Glycan
rxn31565,Cofactors and vitamins
