Reaction,Annotation
rxn16172,Terpenoids and polyketides
rxn00287,
rxn19774,
rxn38507,Cofactors and vitamins
rxn00654,Nucleotide
rxn01172,Amino acid
rxn04516,Terpenoids and polyketides
rxn17678,Lipid
rxn01545,Nucleotide
rxn09862,Xenobiotics
rxn46173,
rxn05327,Lipid
rxn34424,
rxn30606,Nucleotide
EXpd00007,
rxn07143,Terpenoids and polyketides
rxn37999,
rxn03550,Xenobiotics
rxn00159,Carbohydrate
rxn25046,Carbohydrate
rxn04318,Terpenoids and polyketides
rxn33233,
rxn23796,Cofactors and vitamins
rxn45009,
rxn30000,Energy
rxn24109,Cofactors and vitamins
rxn27420,
rxn19181,Amino acid
rxn01173,Amino acid
rxn35893,
rxn44443,
rxn02269,
rxn06982,Cofactors and vitamins
rxn15115,Carbohydrate
rxn05468,
rxn12204,Secondary metabolites
rxn10058,Energy
rxn10767,Amino acid
rxn09192,Nucleotide
rxn02202,Cofactors and vitamins
rxn01409,Lipid
rxn28099,Amino acid
rxn46587,
rxn16183,Terpenoids and polyketides
rxn48388,
rxn04666,Xenobiotics
rxn10158,
rxn25717,Lipid
rxn17440,Xenobiotics
rxn00233,
rxn39510,Glycan
rxn04195,Terpenoids and polyketides
rxn34483,
EXpd00117,
rxn08302,
rxn16322,Amino acid
rxn27419,Glycan
rxn13851,
rxn08853,Nucleotide
rxn36441,Lipid
rxn03665,Xenobiotics
