Component 1,Component 2,Label,Species,Classification
-2494.836167,-1522.662951,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3023.971422,-505.7373855,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2539.801164,-221.3739467,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2029.955076,-1127.333,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3507.824731,-1862.542108,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3274.372933,-2315.194098,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2910.804401,-631.0002995,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2961.423569,-56.28367701,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1692.67541,-1223.494449,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2029.443762,-983.4337041,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3034.504055,-1005.123499,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2040.553452,-577.3310129,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2402.092599,-399.3941508,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3505.362826,-551.0329511,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3534.220715,-2028.452893,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3244.774429,-1499.707728,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1756.243528,-1130.963311,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2284.973584,-1722.677907,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1375.344359,-1546.644393,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1987.264318,-1384.608039,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2313.433462,-246.2626134,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2883.245925,-1052.994793,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1895.496687,197.1630687,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2113.508334,-1331.860307,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2617.949783,-322.0073773,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2220.30552,-1661.783699,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3206.53234,-1328.767834,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1981.904749,-342.7083976,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2303.08049,1271.627785,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3006.416668,-1516.977241,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2488.514393,-1223.087894,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2981.830887,-2092.930345,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2884.887895,-769.4799627,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2321.880523,-950.4731125,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1353.243316,-2612.388474,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-1100.428003,-1108.851133,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-3303.344137,-981.2366766,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2489.494888,-1074.129208,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2643.749768,-2835.301818,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-2156.671684,-1383.515009,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
-437.1469463,-1630.657591,1596.253.sbml.csv,Lactobacillus gasseri,Lactobacillaceae
