reaction,subsystem
rxn32559,Amino acid metabolism
rxn38710,Amino acid metabolism
rxn04023,Xenobiotics biodegradation and metabolism
rxn27889,Metabolism of other amino acids
rxn27887,
rxn32318,Metabolism of cofactors and vitamins
rxn06864,Metabolism of cofactors and vitamins
rxn00792,Metabolism of cofactors and vitamins
rxn24177,Xenobiotics biodegradation and metabolism
rxn31885,Amino acid metabolism
rxn21936,Carbohydrate metabolism
rxn00358,Carbohydrate metabolism
rxn33490,Energy metabolism
rxn03372,
rxn27688,Nucleotide metabolism
rxn23129,
rxn26310,Energy metabolism
rxn04673,Metabolism of cofactors and vitamins
rxn31476,Glycan biosynthesis and metabolism
rxn31361,
rxn30418,
rxn38276,
rxn34254,
rxn32424,
rxn33129,Metabolism of cofactors and vitamins
rxn38359,Carbohydrate metabolism
rxn33404,
rxn34232,
rxn32253,
rxn38254,
rxn37937,
rxn30355,Amino acid metabolism
rxn33740,Metabolism of other amino acids
rxn33295,Biosynthesis of other secondary metabolites
rxn34671,Amino acid metabolism
rxn33469,
rxn01987,Carbohydrate metabolism
rxn30018,Nucleotide metabolism
rxn28256,
rxn33560,Biosynthesis of other secondary metabolites
rxn33488,Carbohydrate metabolism
rxn31954,Carbohydrate metabolism
rxn30128,
rxn38489,Lipid metabolism
rxn31276,Lipid metabolism
rxn25749,Lipid metabolism
rxn37965,Lipid metabolism
rxn31272,Lipid metabolism
rxn38492,Lipid metabolism
rxn30096,Lipid metabolism
rxn31256,Lipid metabolism
rxn31323,Lipid metabolism
rxn38490,Lipid metabolism
rxn31326,Lipid metabolism
rxn31254,Lipid metabolism
rxn31277,Lipid metabolism
rxn25746,Lipid metabolism
rxn38487,Lipid metabolism
rxn30156,
rxn38486,Lipid metabolism
rxn25745,Lipid metabolism
rxn31257,Lipid metabolism
rxn31253,Lipid metabolism
rxn31322,Lipid metabolism
rxn31275,Lipid metabolism
rxn31255,Lipid metabolism
rxn31225,Lipid metabolism
rxn31327,Lipid metabolism
rxn38482,Lipid metabolism
rxn31324,Lipid metabolism
rxn38485,Lipid metabolism
rxn31321,Lipid metabolism
rxn31325,Lipid metabolism
rxn38484,Lipid metabolism
rxn16641,Amino acid metabolism
rxn31228,
rxn02518,Nucleotide metabolism
rxn01962,Nucleotide metabolism
rxn33568,Metabolism of cofactors and vitamins
rxn32974,Nucleotide metabolism
rxn32148,Nucleotide metabolism
rxn32257,Nucleotide metabolism
rxn00347,Amino acid metabolism
rxn38280,Metabolism of cofactors and vitamins
rxn32595,
rxn02875,
rxn30580,Lipid metabolism
rxn38087,
rxn15833,
rxn15880,
rxn27692,
rxn30710,Nucleotide metabolism
rxn28051,
rxn34708,
rxn20619,
rxn38011,Metabolism of other amino acids
rxn32810,Metabolism of cofactors and vitamins
