file_name,species
109790.33.sbml.csv,Lactobacillus jensenii strain SNUV360
1284686.3.sbml.csv,Anaerococcus lactolyticus S7-1-13
33036.3.sbml.csv,Anaerococcus tetradius strain MJR8151
82135.15.sbml.csv,Fannyhessea vaginae strain NCTC13935
87541.3.sbml.csv,Aerococcus christensenii strain CCUG28831
1871336.13.sbml.csv,Criibacterium bergeronii CCRI-22567
887899.3.sbml.csv,Mobiluncus curtisii sp. Holmesii ATCC 35242
938288.17.sbml.csv,Fenollaria massiliensis CC0061C2
1852374.3.sbml.csv,Ezakiella sp. Marseille-P2951
1776387.3.sbml.csv,Peptoniphilus sp. KHD4
1588748.4.sbml.csv,Veillonellaceae bacterium KA00182
398513.13.sbml.csv,Bifidobacterium bifidum NCIMB 41171
1685.10.sbml.csv,Bifidobacterium breve strain BR3
1682.258.sbml.csv,Bifidobacterium longum subsp. Infantis BB-02
1314884.3.sbml.csv,Lactobacillus acidophilus La-14
784613.4.sbml.csv,Lactobacillus delbrueckii subsp. Bulgaricus 
219334.4.sbml.csv,Lactobacillus casei subsp. Casei ATCC 393
1348632.3.sbml.csv,Lactobacillus plantarum NBRC 100936
568703.30.sbml.csv,Lactobacillus rhamnosus GG ATCC 53103
1358.1413.sbml.csv,Lactobacillus lactis strain LAC460
1587.750.sbml.csv,Lactobacillus helveticus SCB643
1596.253.sbml.csv,Lactobacillus gasseri strain BIO6369
1613.511.sbml.csv,Lactobacillus fermentum strain HFD1
1624.699.sbml.csv,Ligilactobacillus salivarius LPM01
1367477.3.sbml.csv,Bacillus infantis NRLL B-14911
1580.66.sbml.csv,Lactobacillus brevis strain NPS-QW-145
1598.864.sbml.csv,Lactobacillus reuteri
1075106.4.sbml.csv,Bifidobacterium animalis subsp. Lactis BLC1
1682.258.sbml.csv,Bifidobacterium longum subsp. Infantis BB-02
47770.632.sbml.csv,Lactobacillus crispatus strain DC21.1
47715.1833.sbml.csv,Lacticaseibacillus rhamnosus TCI366
585528.19.sbml.csv,Gardnerella vaginalis ATCC 14018
1261060.4.sbml.csv,Gardnerella vaginalis JCP7672
1870984.4.sbml.csv,Anaerococcus sp. Marseille-2765
