Duration (Hours),PGY (Modified) Media,PGY (Modified) Media,PGY (Modified) Media,A. christensenii SM,A. christensenii SM,A. christensenii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. tetradius SM,A. tetradius SM,A. tetradius SM,E. massiliensis SM,E. massiliensis SM,E. massiliensis SM,C. bergeronii SM,C. bergeronii SM,C. bergeronii SM,A. marseille SM,A. marseille SM,A. marseille SM,L. jensenii SM,L. jensenii SM,L. jensenii SM,A. lactolyticus SM,A. lactolyticus SM,A. lactolyticus SM,P. vaginalis SM,P. vaginalis SM,P. vaginalis SM,V. bacterium SM,V. bacterium SM,V. bacterium SM,M. curtisii SM,M. curtisii SM,M. curtisii SM
0,0.092133333,0.062133333,0.006333333,0.036833333,0.052033333,0.005233333,0.042233333,0.045333333,0.008233333,0.032533333,0.049533333,0.006733333,0.033066667,0.045466667,0.015866667,0.0144,0.018,-0.0011,0.037066667,0.046866667,0.015766667,0.036366667,0.047766667,0.022266667,0.0481,0.0388,0.021,0.084266667,0.073566667,-0.005333333,0.047,0.0391,0.0061,0.0578,0.0427,0.0179
0.08,0.0789,0.0609,0.0118,0.035966667,0.051066667,0.005166667,0.0398,0.0438,0.01,0.0306,0.0494,0.008,0.032166667,0.044466667,0.013766667,0.011833333,0.016633333,-0.006666667,0.036,0.0441,0.0136,0.036133333,0.045933333,0.019933333,0.045,0.0406,0.0227,0.0925,0.0758,-0.0053,0.0457,0.0413,0.0087,0.0543,0.0409,0.0142
0.17,0.080666667,0.060666667,0.010666667,0.035366667,0.047666667,0.004366667,0.0359,0.0438,0.0084,0.029733333,0.044733333,0.007933333,0.033166667,0.044166667,0.016066667,0.013266667,0.016566667,-0.010733333,0.036666667,0.044666667,0.013166667,0.0399,0.0487,0.0201,0.045333333,0.042233333,0.022833333,0.084866667,0.075566667,-0.002533333,0.047833333,0.044333333,0.013333333,0.055066667,0.045766667,0.018266667
0.25,0.079566667,0.059366667,0.007366667,0.032133333,0.045533333,0.004633333,0.037466667,0.044366667,0.010766667,0.032466667,0.044666667,0.011366667,0.033633333,0.043433333,0.014133333,0.014166667,0.014966667,-0.018433333,0.038066667,0.047566667,0.014266667,0.0409,0.0467,0.0155,0.0438,0.0419,0.0198,0.078366667,0.073466667,-0.000833333,0.0493,0.0465,0.0184,0.0521,0.0495,0.0212
0.33,0.0794,0.0593,0.0061,0.0335,0.0494,0.0077,0.035433333,0.043433333,0.012133333,0.0316,0.0473,0.0122,0.033466667,0.042066667,0.013766667,0.015733333,0.015333333,-0.019366667,0.042933333,0.051033333,0.017833333,0.041833333,0.047033333,0.011233333,0.0441,0.0417,0.0203,0.074733333,0.073233333,0.002633333,0.0505,0.0474,0.0207,0.051266667,0.049766667,0.022866667
0.42,0.079266667,0.059466667,0.008466667,0.027766667,0.051266667,0.008666667,0.036666667,0.044666667,0.016266667,0.0314,0.0466,0.0152,0.031833333,0.038633333,0.013433333,0.015466667,0.011766667,-0.024033333,0.046366667,0.052766667,0.020766667,0.041,0.0467,0.0104,0.045266667,0.044166667,0.022466667,0.074433333,0.073933333,0.004333333,0.0513,0.0492,0.0241,0.052533333,0.050333333,0.024533333
0.5,0.078633333,0.058433333,0.006133333,0.0279,0.05,0.0092,0.034266667,0.045866667,0.013966667,0.029733333,0.046833333,0.012233333,0.033766667,0.040066667,0.013566667,0.0168,0.0098,-0.0263,0.048033333,0.050833333,0.019833333,0.039733333,0.046733333,0.010833333,0.043833333,0.043533333,0.022733333,0.072933333,0.074333333,0.003933333,0.051266667,0.050266667,0.024966667,0.0533,0.0543,0.0271
0.58,0.076833333,0.057533333,0.005933333,0.028766667,0.052266667,0.010366667,0.036233333,0.045433333,0.015433333,0.029033333,0.043033333,0.012833333,0.0316,0.0384,0.0153,0.016733333,0.010933333,-0.025666667,0.050633333,0.050233333,0.019433333,0.0401,0.047,0.0121,0.043433333,0.044333333,0.023933333,0.067366667,0.074666667,0.003466667,0.049866667,0.049866667,0.026866667,0.0516,0.0555,0.0285
0.67,0.074533333,0.057333333,0.005833333,0.028666667,0.052966667,0.009066667,0.037133333,0.046633333,0.017133333,0.0284,0.0431,0.0122,0.034033333,0.041033333,0.016033333,0.018933333,0.011033333,-0.026866667,0.047033333,0.051233333,0.020333333,0.0424,0.0451,0.0123,0.045266667,0.045566667,0.025566667,0.064566667,0.075066667,0.001866667,0.049033333,0.048733333,0.027233333,0.0513,0.0579,0.0289
0.75,0.0765,0.0573,0.0062,0.0266,0.054,0.01,0.040066667,0.047566667,0.021166667,0.029666667,0.043766667,0.011766667,0.033633333,0.042133333,0.014233333,0.0182,0.0067,-0.0288,0.049233333,0.053833333,0.022633333,0.043466667,0.044066667,0.011666667,0.0429,0.0436,0.0221,0.064033333,0.074533333,0.004633333,0.051333333,0.051033333,0.029633333,0.0511,0.058,0.0317
0.83,0.0765,0.0566,0.0043,0.0265,0.0545,0.0091,0.0411,0.0487,0.0224,0.030366667,0.047566667,0.011166667,0.036566667,0.042766667,0.015266667,0.013566667,0.004266667,-0.030933333,0.046633333,0.054333333,0.022533333,0.041966667,0.045966667,0.009866667,0.044866667,0.046466667,0.022366667,0.062266667,0.076166667,0.008566667,0.053,0.0528,0.0314,0.053566667,0.057866667,0.030666667
0.92,0.0788,0.0584,0.0069,0.0294,0.0546,0.0106,0.0393,0.0491,0.0222,0.0328,0.0495,0.0108,0.036966667,0.044566667,0.014666667,0.0153,0.0085,-0.03,0.048966667,0.057466667,0.023166667,0.040833333,0.046533333,0.009333333,0.044266667,0.044166667,0.023166667,0.0612,0.0764,0.0094,0.053433333,0.053333333,0.033033333,0.053333333,0.058533333,0.032433333
