Duration (Hours),A. lactolyticus SM,A. lactolyticus SM,A. lactolyticus SM,L. jensenii SM,L. jensenii SM,L. jensenii SM,C. bergeronii SM,C. bergeronii SM,C. bergeronii SM,A. marseille SM,A. marseille SM,A. marseille SM,E. massiliensis SM,E. massiliensis SM,E. massiliensis SM,A. tetradius SM,A. tetradius SM,A. tetradius SM,V. bacterium SM,V. bacterium SM,V. bacterium SM,P. vaginalis SM,P. vaginalis SM,P. vaginalis SM
0,0.0267,0.0582,0.01,0.034633333,0.040533333,0.015233333,0.026933333,0.060533333,0.007933333,0.021766667,0.056566667,0.004966667,0.025133333,0.067333333,0.032833333,0.031166667,0.047566667,0.029066667,0.035133333,0.033733333,-0.000966667,0.036966667,0.048366667,-0.000733333
0.08,0.027766667,0.057166667,0.013266667,0.034733333,0.041933333,0.017233333,0.0251,0.0598,0.0078,0.0234,0.0536,0.0058,0.025433333,0.064233333,0.032333333,0.030366667,0.046466667,0.025266667,0.034,0.0334,-0.001,0.039333333,0.050033333,0.000933333
0.17,0.0284,0.0585,0.0136,0.0337,0.0406,0.0199,0.024533333,0.059133333,0.010133333,0.0235,0.0512,0.0068,0.029333333,0.061733333,0.029933333,0.027266667,0.046966667,0.024466667,0.032133333,0.032233333,0.000333333,0.0397,0.0504,-0.0005
0.25,0.032666667,0.058866667,0.015366667,0.0346,0.0415,0.0205,0.0243,0.0562,0.0097,0.025533333,0.051933333,0.010633333,0.031333333,0.059433333,0.028033333,0.028633333,0.044933333,0.024533333,0.0321,0.0326,0,0.041466667,0.051766667,-0.000733333
0.33,0.030566667,0.057466667,0.015566667,0.0368,0.0399,0.0202,0.024933333,0.056433333,0.008433333,0.0296,0.0507,0.0111,0.032266667,0.058966667,0.026266667,0.0277,0.0433,0.024,0.0313,0.034,0,0.041033333,0.049533333,-0.003866667
0.42,0.0307,0.0582,0.017,0.0342,0.0415,0.0195,0.0263,0.0556,0.0097,0.0297,0.0481,0.0119,0.031666667,0.058766667,0.023866667,0.030033333,0.046033333,0.025333333,0.031666667,0.031566667,0.001166667,0.0441,0.0508,-0.0032
0.5,0.0334,0.0608,0.0197,0.034033333,0.040833333,0.019633333,0.023733333,0.056433333,0.009933333,0.030933333,0.047733333,0.012533333,0.0324,0.0599,0.0235,0.030366667,0.047366667,0.028466667,0.033833333,0.034333333,0.003933333,0.044533333,0.051233333,-0.002266667
0.58,0.0295,0.0596,0.0173,0.033466667,0.041366667,0.020166667,0.019666667,0.053466667,0.007766667,0.032166667,0.044466667,0.012866667,0.0332,0.0578,0.0195,0.0311,0.0458,0.027,0.031166667,0.033866667,0.002466667,0.0443,0.0507,-0.0028
0.67,0.0311,0.0576,0.0187,0.032766667,0.042666667,0.020966667,0.020666667,0.049866667,0.005566667,0.030066667,0.042466667,0.010466667,0.032333333,0.056533333,0.018433333,0.033333333,0.048133333,0.027233333,0.0299,0.0339,0.0037,0.044866667,0.050966667,-0.003133333
0.75,0.032,0.0607,0.0184,0.035033333,0.041733333,0.020533333,0.0203,0.0503,0.0042,0.029966667,0.040166667,0.009366667,0.034766667,0.056666667,0.017066667,0.034233333,0.049733333,0.026433333,0.029633333,0.034333333,0.003633333,0.045333333,0.051833333,-0.003266667
0.83,0.0343,0.0618,0.0174,0.0337,0.0431,0.0202,0.0219,0.0471,0.0037,0.030133333,0.040733333,0.006133333,0.0357,0.0577,0.0142,0.0314,0.0478,0.0267,0.029966667,0.034266667,0.004766667,0.045133333,0.052933333,-0.003866667
0.92,0.0359,0.0637,0.0183,0.033666667,0.045066667,0.022366667,0.023433333,0.049133333,0.007633333,0.029233333,0.041733333,0.007133333,0.035533333,0.058533333,0.015333333,0.0317,0.0476,0.0265,0.029066667,0.033466667,0.001966667,0.044866667,0.052166667,-0.006733333
1,0.034666667,0.063166667,0.016966667,0.0313,0.0435,0.0232,0.022766667,0.048766667,0.005766667,0.027933333,0.042433333,0.007433333,0.037366667,0.057966667,0.015466667,0.034233333,0.046333333,0.026533333,0.028633333,0.033433333,0.002533333,0.044933333,0.053733333,-0.007066667
1.08,0.0299,0.0636,0.0184,0.030633333,0.043833333,0.024433333,0.022266667,0.048966667,0.006466667,0.028533333,0.043733333,0.007733333,0.034333333,0.057833333,0.016333333,0.035333333,0.047233333,0.026533333,0.028266667,0.032766667,0.002766667,0.042866667,0.051766667,-0.007833333
1.17,0.030666667,0.063066667,0.019666667,0.031466667,0.041766667,0.023766667,0.021433333,0.048833333,0.005833333,0.029233333,0.041933333,0.006833333,0.033533333,0.057433333,0.017633333,0.035266667,0.046566667,0.025466667,0.028366667,0.032966667,0.003366667,0.041333333,0.050733333,-0.008566667
1.25,0.032333333,0.062433333,0.018633333,0.0317,0.0411,0.0208,0.020833333,0.049533333,0.004733333,0.027966667,0.038966667,0.007966667,0.0316,0.0569,0.0185,0.034033333,0.045733333,0.024933333,0.0287,0.0329,0.0027,0.0413,0.0513,-0.0089
1.33,0.031033333,0.060433333,0.020233333,0.033766667,0.043166667,0.022966667,0.0207,0.0487,0.0081,0.0278,0.0405,0.0096,0.031933333,0.056233333,0.017533333,0.035666667,0.045566667,0.024366667,0.027466667,0.032166667,0.002366667,0.040833333,0.051333333,-0.009166667
1.42,0.0277,0.0617,0.0187,0.035266667,0.043866667,0.021466667,0.019733333,0.048933333,0.006433333,0.029533333,0.041733333,0.011233333,0.029866667,0.055266667,0.015466667,0.0342,0.0452,0.0256,0.027,0.0318,0.0017,0.0398,0.0512,-0.0094
1.5,0.028166667,0.060866667,0.019666667,0.032433333,0.042833333,0.022133333,0.019066667,0.049766667,0.007866667,0.0285,0.04,0.0095,0.030266667,0.053566667,0.014266667,0.034566667,0.047066667,0.026166667,0.0268,0.0321,0.0027,0.039933333,0.050133333,-0.009066667
1.58,0.030066667,0.061766667,0.019966667,0.032766667,0.042466667,0.021366667,0.0191,0.0516,0.0083,0.030166667,0.041366667,0.011266667,0.0319,0.0532,0.0135,0.035533333,0.048133333,0.027033333,0.027566667,0.031266667,0.003566667,0.040233333,0.049333333,-0.011166667
1.67,0.0316,0.062,0.0194,0.031533333,0.043233333,0.018333333,0.017566667,0.052866667,0.007766667,0.028833333,0.040133333,0.012033333,0.030733333,0.053333333,0.011533333,0.034733333,0.047333333,0.023733333,0.0272,0.0298,0.0018,0.037366667,0.048166667,-0.011333333
1.75,0.030933333,0.063633333,0.016833333,0.031866667,0.044066667,0.020166667,0.0186,0.0525,0.0071,0.030166667,0.039066667,0.015166667,0.029333333,0.053133333,0.012233333,0.031866667,0.046066667,0.024166667,0.028066667,0.030966667,0.002866667,0.038733333,0.048233333,-0.011066667
1.83,0.032533333,0.063833333,0.014833333,0.032333333,0.043733333,0.021333333,0.016933333,0.052333333,0.008733333,0.031433333,0.040333333,0.015733333,0.027733333,0.053733333,0.011333333,0.033966667,0.047566667,0.024666667,0.0288,0.0315,0.0026,0.040333333,0.049233333,-0.012466667
1.92,0.032766667,0.062566667,0.016566667,0.031766667,0.044466667,0.020766667,0.018466667,0.053766667,0.009966667,0.030766667,0.042366667,0.016866667,0.0261,0.0551,0.013,0.0354,0.0478,0.0256,0.028766667,0.031066667,0.002266667,0.040533333,0.049233333,-0.014566667
2,0.0335,0.0636,0.0185,0.032066667,0.043766667,0.023166667,0.014133333,0.053433333,0.008733333,0.0298,0.0426,0.0165,0.025733333,0.053733333,0.012533333,0.035933333,0.049233333,0.026533333,0.025933333,0.029733333,0.002233333,0.041966667,0.049766667,-0.014533333
2.08,0.0349,0.0651,0.0203,0.0362,0.0463,0.0269,0.014033333,0.051333333,0.006533333,0.030933333,0.041833333,0.014333333,0.027466667,0.052966667,0.011566667,0.035166667,0.048766667,0.022866667,0.026166667,0.029266667,0.001566667,0.042366667,0.049766667,-0.014333333
2.17,0.0355,0.0651,0.0208,0.036533333,0.045633333,0.024333333,0.015033333,0.050733333,0.005733333,0.032133333,0.042133333,0.015133333,0.026066667,0.053366667,0.011366667,0.037766667,0.049666667,0.025066667,0.0261,0.031,0.0016,0.042233333,0.049433333,-0.013766667
2.25,0.035366667,0.063466667,0.019466667,0.034333333,0.044933333,0.024033333,0.014766667,0.051166667,0.007666667,0.033266667,0.043166667,0.014566667,0.0278,0.0543,0.0114,0.037066667,0.048766667,0.024366667,0.026766667,0.031466667,0.001166667,0.043066667,0.050066667,-0.012433333
2.33,0.034633333,0.064133333,0.017433333,0.034,0.0457,0.0241,0.017666667,0.052166667,0.008366667,0.032833333,0.043633333,0.013633333,0.027566667,0.053766667,0.010366667,0.0337,0.0461,0.0238,0.027066667,0.030666667,0.001966667,0.0409,0.0493,-0.0119
2.42,0.035233333,0.063233333,0.017433333,0.0342,0.0469,0.0263,0.016966667,0.050866667,0.007166667,0.032366667,0.041166667,0.011466667,0.0287,0.0529,0.0089,0.032866667,0.045166667,0.023466667,0.028033333,0.031833333,0.001733333,0.040566667,0.049866667,-0.010733333
2.5,0.032733333,0.062333333,0.016333333,0.033166667,0.047466667,0.023766667,0.015833333,0.051233333,0.006433333,0.0319,0.0408,0.0102,0.027866667,0.053166667,0.009766667,0.032466667,0.045766667,0.024066667,0.025366667,0.030866667,0.002766667,0.039533333,0.049933333,-0.010666667
2.58,0.0329,0.0638,0.0181,0.036633333,0.047933333,0.025333333,0.015333333,0.050833333,0.006533333,0.0324,0.0416,0.0085,0.028033333,0.051633333,0.009633333,0.0316,0.0474,0.0231,0.0263,0.0314,0.0042,0.0396,0.0493,-0.0096
2.67,0.0325,0.0615,0.0164,0.038833333,0.048133333,0.025033333,0.0171,0.0511,0.0073,0.0337,0.042,0.0112,0.028766667,0.052666667,0.009866667,0.0322,0.0472,0.0247,0.026066667,0.032166667,0.004966667,0.0395,0.0498,-0.0099
2.75,0.031433333,0.062533333,0.014733333,0.0363,0.0468,0.0245,0.015,0.0499,0.0075,0.032333333,0.042833333,0.008933333,0.0294,0.0533,0.0092,0.033233333,0.047233333,0.020433333,0.0254,0.0327,0.0048,0.0395,0.0505,-0.0109
2.83,0.031766667,0.060666667,0.014166667,0.033133333,0.045133333,0.021233333,0.0151,0.0502,0.0071,0.0317,0.0442,0.0115,0.026866667,0.052666667,0.008266667,0.032966667,0.048166667,0.021266667,0.026333333,0.034933333,0.007533333,0.0421,0.0521,-0.0094
2.92,0.033233333,0.060133333,0.013933333,0.034433333,0.046533333,0.022533333,0.016366667,0.049566667,0.006966667,0.0329,0.0432,0.0135,0.027933333,0.053233333,0.010433333,0.034333333,0.048233333,0.021433333,0.026,0.0323,0.0065,0.0406,0.0509,-0.01
3,0.029966667,0.060566667,0.012266667,0.035966667,0.045866667,0.023266667,0.0129,0.0509,0.0065,0.032766667,0.042866667,0.014166667,0.027666667,0.052566667,0.010066667,0.033633333,0.046833333,0.023833333,0.027266667,0.032966667,0.006366667,0.041166667,0.049566667,-0.010433333
3.08,0.030633333,0.061033333,0.015733333,0.0373,0.0462,0.0249,0.016633333,0.053233333,0.009833333,0.0328,0.0436,0.0145,0.0275,0.0512,0.0098,0.032933333,0.048833333,0.022133333,0.027133333,0.033033333,0.004833333,0.040066667,0.049666667,-0.011233333
3.17,0.031433333,0.058933333,0.015233333,0.0349,0.044,0.025,0.0162,0.0529,0.0089,0.031533333,0.041633333,0.013633333,0.027733333,0.049833333,0.005933333,0.035,0.0494,0.0237,0.028066667,0.033966667,0.004666667,0.040233333,0.049633333,-0.011666667
3.25,0.029733333,0.059333333,0.014033333,0.0361,0.0453,0.0261,0.018866667,0.053966667,0.010366667,0.0307,0.0424,0.0127,0.029,0.0518,0.0076,0.035466667,0.047566667,0.022466667,0.028,0.0342,0.0054,0.0394,0.0495,-0.0129
3.33,0.0294,0.0601,0.0135,0.036433333,0.045433333,0.023133333,0.019166667,0.052066667,0.009466667,0.029566667,0.041666667,0.012466667,0.028133333,0.051133333,0.007433333,0.0345,0.048,0.0233,0.026666667,0.035666667,0.008166667,0.039133333,0.049133333,-0.012066667
3.42,0.0312,0.0606,0.0128,0.038333333,0.046033333,0.020933333,0.018966667,0.051566667,0.005866667,0.028633333,0.039733333,0.009633333,0.0275,0.0534,0.008,0.035366667,0.045166667,0.023566667,0.026266667,0.035066667,0.006866667,0.039366667,0.049066667,-0.011533333
